unique_id: "tdo_uncleEnzo"
archetypeName: "Guard - Protect"
attitude: AttitudeAggressive
stats {
  body: 12
  quickness: 3
  strength: 8
  charisma: 5
  intelligence: 2
  willpower: 6
  essence: 6
  magic: 0
  reaction: 4
  hp: 70
  ap: 3
  armor: 6
  force: 0
  morale: 75
  discipline: 75
  awareness: 80
  perception: 40
  authority: 50
  protect_tether_range: 5
  move_speed: 8
  is_fearless: 0
}
skills {
  ranged_combat: 0
  close_combat: 8
  throwing_weapons: 3
  spellcasting: 0
  decking: 0
  deck_build_repair: 0
  conjuring: 5
  spirit_summoning: 0
  spirit_banishing: 0
  magic_defense: 0
  drone_control: 0
  remote_gunnery: 0
  drone_build_repair: 0
  athletics: 0
  biotech: 1
  dodge: 3
  negotiation: 0
  stealth: 0
  etiquette_corporate: 0
  etiquette_security: 0
  etiquette_gang: 0
  etiquette_paranormal: 0
  etiquette_socialite: 0
  etiquette_infected: 0
  chi_casting: 6
  etiquette_shadowrunner: 0
  etiquette_street: 0
  etiquette_academic: 0
}
specializations {
  bows: 0
  heavy_weapons: 0
  laser: 0
  pistol: 0
  rifle: 0
  shotgun: 0
  smg: 0
  clubs: 0
  edged: 0
  polearms: 0
  unarmed: 6
  whips: 0
  throwing_blades: 0
  attack_spells: 0
  manipulation_spells: 0
  social_spells: 0
  support_spells: 0
  combat_programs: 0
  defensive_programs: 0
  trap_programs: 0
  spirit_control: 0
  esp_control: 0
  drone_combat: 0
}
prefab_name: "Core/TrollMale"
portrait {
  filename: "pc_trollmale_03_biker"
}
attackRandom: AttackStyle_AllEqual
