id: "ar SSC hkg12a3z"
type: ItemType_Rifle
uirep {
  icon: "icon_gun_hecklerkochg12a3z"
  name: "Heckler & Koch G12A3z"
  description: "Assault Rifle, laser sight for +3% accuracy, Gas Vent and stock. RC 3, SA/BF/FA"
}
equipPrefabName: "TacticalAssaultRifle"
anim_type: AnimType_Rifle
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Rifle
apCost: 1
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 1"
maxAmmo: 32
baseHPDamage: 11
baseAPDamage: 0
rangeModTable: 9
rangeModTable: 9
rangeModTable: 8
rangeModTable: 8
rangeModTable: 7
rangeModTable: 7
rangeModTable: 6
rangeModTable: 6
rangeModTable: 5
rangeModTable: 5
rangeModTable: 4
rangeModTable: 4
rangeModTable: 2
rangeModTable: 2
rangeModTable: 0
rangeModTable: -2
rangeModTable: -4
rangeModTable: -6
rangeModTable: -8
noiseLevel: 9
noiseRounds: 1
ammoReloadAPCost: 1
abilityModes: "SA"
abilityModes: "BF RC3"
abilityModes: "FA RC3"
affectsEnemy: true
canTargetActor: true
store_cost: 2200
sorting_group: "SSC Rifles"
