id: "drugNeuro"
type: ItemType_Consumable
uirep {
  icon: "icon_shield"
  name: "Neuro"
  description: "Matrix stim that raises Decking and ESP Control by 1 for 5 rounds."
  thumbnail: ""
}
equipPrefabName: ""
anim_type: AnimType_Null
coreAttribute: Attribute_Intelligence
coreSkill: Skill_Biotech
coreSpecialization: Specialization_None
forceRating: 0
apCost: 1
maxAmmo: 0
baseHPDamage: 0
baseAPDamage: 0
rangeModTable: 0
noiseLevel: 0
noiseRounds: 0
ammoReloadAPCost: 0
spreadAngle: 0
modelessAbilities: "CombatStim"
affectsFriendly: true
affectsEnemy: false
affectsDecker: false
canTargetSelf: true
canTargetActor: true
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
additionalTargets: -1
isBuff: true
isDebuff: false
cooldown: 0
cooldown_category: ""
isMagic: false
effectDuration: -1
effectRadius: 0
effectOnTile: false
character_sheet_id: ""
character_prefab_id: ""
character_ui_name: ""
decking_default_weapon: ""
decking_hardening: 0
decking_body: 0
decking_evasion: 0
decking_max_ip: 0
decking_max_ap: 0
decking_program_limit: 0
decking_esp_limit: 0
reactions_per_use: 0
credentials: 0
ai_priority: 0
activationStatusEffects {
  uirep {
    icon: "icon_shield"
    name: "Neuro: Decking +1, ESP CONTROL +1"
    description: ""
    thumbnail: ""
  }
  stackingCategory: "Jazz"
  statMods {
    attribute: Attribute_None
    skill: Skill_Decking
    specialization: Specialization_None
    intModValue: 1
    floatModValue: 0
  }
  statMods {
    attribute: Attribute_None
    skill: Skill_None
    specialization: Specialization_DK_ESP_Control
    intModValue: 1
    floatModValue: 0
  }
  fxScript: ""
  durationFxScript: ""
  is_buff: false
  is_debuff: false
  is_totem: false
}
intended_user: IntendedUser_Player
cyberware_type: CyberwareType_None
gear_bundle: ""
outfit_texture: ""
gear_prefab: ""
gear_covers_arms: false
gear_covers_hair: false
gear_covers_face: false
store_cost: 100
sorting_group: "Drugs"
